Name,Type,Base-loc,Space,CapA,LowA,Bank3,Bank4,NumSyllables,Font,GlyphUses,SampleText,lrt-ltr
Junrathor,Alphabet,f2f00,f2f20,f2f41,f2f61,f2f81,f2fa1,-,lcs-constructorII,IMFS,F3B2BD8AF3B2BDB5F3B2BDAEF3B2BDB2F3B2BDA1F3B2BDB4F3B2BDA8F3B2BDAFF3B2BDB2,ltr
Klipstar,Abugida,f3a00,f3a20,f3a41,f3a61,-,-,-,lcs-constructorII,UL,F3B3A98BF3B3A98CF3B3A989F3B3A990F3B3A993F3B3A994F3B3A981F3B3A992,ltr
Linglish,Abugida,f2000,f2020,f2041,f2061,-,-,-,lcs-constructorII,-,F3B2818CF3B28189F3B2818EF3B28187F3B2818CF3B28189F3B28193F3B28188,ltr
Merlinic,Multigraphic,f1200,f1220,f1241,f1261,-,-,-,lcs-constructorII,12,F3B1898DF3B189A5F3B18992F3B189ACF3B18989F3B189AEF3B18989F3B189A3,ltr
Minimist,Alphabet,f3000,f3020,f3041,f3061,-,-,-,lcs-constructorII,UL,F3B3818DF3B38189F3B3818EF3B38189F3B3818DF3B38189F3B38193F3B38192,ltr
Monglish,Alphabet,f1300,f1320,f1341,f1361,f1381,f13a1,-,lcs-constructorII,IMFS,F3B18D8DF3B18DAFF3B18DAEF3B18DA7F3B18DACF3B18DA9F3B18DB3F3B18E88,ltr
Ninedots 8859-1,Alphabet,f3100,f3120,f3141,f3161,-,-,-,lcs-constructorII,UL,F3B3858EF3B385A9F3B385AEF3B385A5F3B385A4F3B385AFF3B385B4F3B385B3,ltr
Nkenglish,Alphabet,f4100,f4120,f4141,f4161,-,-,-,lcs-constructorII,UL,F3B4858EF3B485ABF3B485A5F3B485AEF3B485A7F3B485ACF3B485A9F3B485B3F3B485A8,ltr
Nogamadi,Multigraphic,f4000,f4020,f4041,f4061,-,-,-,lcs-constructorII,12,F3B4818EF3B481AFF3B48187F3B481A1F3B4818DF3B481A1F3B48184F3B481A9,ltr
Numpum,Multigraphic,f1400,f1320,f1441,f1461,f1481,-,-,lcs-constructorII,123,F3B1918EF3B191B5F3B1928DF3B19190F3B191B5F3B1928D,ltr
Obesuveik,Alphabet,f1500,f1520,f1541,f1561,-,-,-,lcs-constructorII,UL,F3B1958FF3B195A2F3B195A5F3B195B3F3B195B5F3B195B6F3B195A5F3B195A9F3B195A3,ltr
Plunar,Alphabet,f4200,f4220,f4241,f4261,-,-,-,lcs-constructorII,UL,F3B48990F3B489ACF3B489B5F3B489AEF3B489A1F3B489B2,ltr
Ravana,Alphabet,f1700,f1720,f1741,f1761,-,-,-,lcs-constructorII,UL,F3B19DB2F3B19DA1F3B19DB6F3B19DA1F3B19DAEF3B19DA1,ltr
Runab,Abugida,f3200,f3220,f3241,-,-,-,-,lcs-constructorII,-,F3B38992F3B38995F3B3898EF3B38981F3B38982,ltr
